date,Arts & Entertainment,Autos & Vehicles,Beauty & Fitness,Books & Literature,Business & Industrial,Computers & Electronics,Finance,Food & Drink,Health,Internet & Telecom,Jobs & Education,Law & Government,People & Society,Real Estate,Shopping,Travel
2013-07,96,92,54,42,40,75,7,52,24,97,55,67,63,28,39,32
2013-08,94,93,54,39,35,77,7,41,25,96,33,62,57,33,44,42
2013-09,80,90,54,38,39,73,7,41,26,99,37,57,46,37,42,40
2013-10,75,83,48,34,37,73,6,37,26,90,21,46,41,33,40,33
2013-11,75,84,46,39,38,75,7,41,31,91,22,49,44,35,42,33
2013-12,74,89,45,41,41,76,8,43,29,86,24,55,44,37,42,32
2014-01,87,86,47,39,41,77,7,45,28,92,27,60,53,35,45,35
2014-02,94,90,54,41,44,80,7,47,32,100,35,50,55,40,45,36
2014-03,80,88,53,39,44,76,8,45,32,93,28,49,48,40,41,35
2014-04,83,86,53,41,42,75,8,45,32,90,26,46,47,41,45,40
2014-05,93,89,51,41,42,75,8,50,34,93,38,52,57,42,46,41
2014-06,95,96,59,39,42,71,7,50,32,92,40,52,58,41,44,44
2014-07,90,89,53,38,43,67,8,62,31,91,44,60,57,38,49,48
2014-08,94,100,60,40,49,78,8,46,34,100,40,57,55,53,55,62
2014-09,82,89,56,41,45,67,8,45,33,99,35,58,47,45,46,47
2014-10,80,85,52,41,44,67,8,46,35,91,28,53,45,44,48,42
2014-11,82,81,49,45,44,67,9,47,35,86,29,56,46,44,46,40
2014-12,79,88,49,43,45,69,9,51,38,84,31,56,50,43,50,40
2015-01,85,87,50,40,43,69,8,51,35,86,34,58,52,40,51,39
2015-02,84,87,49,44,47,68,9,56,35,84,33,66,49,42,47,40
2015-03,74,81,50,41,47,69,9,52,38,81,29,55,48,44,48,43
2015-04,79,84,53,45,46,70,9,56,39,80,26,55,52,45,50,45
2015-05,86,82,56,43,47,67,8,52,38,80,41,54,51,48,50,51
2015-06,86,81,53,42,43,63,8,62,36,76,42,51,55,44,47,46
2015-07,88,85,60,43,45,64,10,61,37,85,51,53,54,53,55,59
2015-08,87,90,63,45,52,65,10,51,41,81,43,60,52,63,56,68
2015-09,80,80,57,42,47,62,9,50,37,81,33,60,48,53,52,54
2015-10,71,78,53,45,45,65,10,49,45,79,25,57,45,50,49,46
2015-11,72,72,50,44,47,63,10,50,41,74,23,54,43,46,49,43
2015-12,70,75,51,45,48,65,10,54,45,77,25,56,49,48,53,45
2016-01,86,80,54,48,49,63,10,55,42,77,31,54,54,51,56,43
2016-02,87,80,56,50,54,65,12,52,43,76,46,58,53,54,55,44
2016-03,77,81,58,50,54,64,15,54,48,76,27,55,49,55,53,44
2016-04,80,81,58,46,57,60,15,51,45,71,27,54,52,52,52,51
2016-05,85,81,60,46,56,63,14,54,46,72,49,56,56,57,55,55
2016-06,95,79,58,42,48,58,13,71,41,70,46,55,58,51,50,52
2016-07,97,91,71,51,53,65,18,57,45,80,61,64,56,64,61,78
2016-08,90,89,68,45,58,61,18,52,50,76,44,67,51,64,59,72
2016-09,87,79,59,41,48,59,13,55,42,76,32,63,51,58,56,58
2016-10,70,77,54,45,54,61,19,53,47,69,25,63,47,59,50,45
2016-11,70,70,49,44,50,60,35,51,45,67,23,58,44,52,50,42
2016-12,75,73,50,46,53,59,22,55,46,71,23,59,49,52,55,42
2017-01,77,69,52,46,55,60,19,55,42,70,33,55,50,54,52,45
2017-02,77,68,51,46,52,58,27,55,44,72,39,53,47,55,53,42
2017-03,74,65,54,46,53,59,22,55,45,67,26,51,46,56,51,45
2017-04,78,67,57,43,56,58,17,54,47,68,25,54,52,56,50,53
2017-05,78,65,54,41,57,55,15,56,45,65,52,59,51,60,52,47
2017-06,80,73,59,41,57,57,15,69,43,63,44,55,50,64,60,63
2017-07,82,81,65,45,66,58,19,54,49,68,57,63,47,80,63,80
2017-08,71,68,59,41,54,52,16,49,44,64,34,53,47,70,56,68
2017-09,63,63,49,38,49,51,13,47,41,65,31,48,40,58,53,53
2017-10,58,58,46,41,54,50,13,50,45,61,24,49,37,53,47,46
2017-11,59,58,45,40,50,51,12,49,45,59,22,45,40,47,49,43
